0c2e7863;c11c7da2;Dirty Harry;65;0;16;16;U;Mindscape
0c375f29;11a4e997;UPS Bros. (SMB1 Hack);1;0;2;1;GH
0c401790;0c401790;Bomberman 2;16;0;8;0;J;Hudson Soft
0c47946d;0b4c2ddc;Chibi Maruko Chan< - Uki Uki Shopping>;49;16;8;16;J;Namco
0c5a6297;7f2a04bf;Fantasy Zone 2< - The Teardrop of Opa-Opa>;49;64;8;16;J;Sunsoft
0c5f40a6;0daf8a80;Turtle Ninja 2 (CCE Pirate Cart) (Fixed);65;0;16;32;UZ
0c6c71a3;c79d050e;Wai Wai World 2< - SOS!! Paseri Jou> (Bad PRG);80;16;16;16;JB;Konami
0ca7a0be;e5803305;Abadox (Spanish v0.99);16;0;8;16;T;Paladin Knights
0caf2f15;92d0a3e8;Seicross;1;0;2;1;J;Nihon Bussan
0cc9ffec;112140a4;Ganbare Goemon 2;112;16;8;16;J;Konami
0cd79b71;35d8b101;Cosmo Genesis;48;0;2;4;J;ASCII
0ceff14f;0ceff14f;Ide Yousuke Meijin no Jissen Mahjong (Pirate);36;0;8;0;JZ;Capcom
0d2cc034;00000000;Pyre's Mario 69 (SMB3 Hack);64;0;16;16;GH
0d3482d7;7866fb2c;Seirei Densetsu Lickle;65;0;16;16;J;Taito
0d4b5a60;9989331b;Jackie Chan (Bad Dump);65;0;8;16;JB;Hudson Soft
0d52e2e6;0d52e2e6;Satsui no Kaisou< - Power Soft Satsujin Jiken> (Mapper 2 Hack);33;0;16;0;JM;Hal Kenkyuujo
0d65e7c7;aad7bdc1;Gimmick! (Alt);80;64;16;16;J;Sunsoft
0d6cf078;0d6cf078;Nekketsu Kouha - Kunio Kun (Alt);33;0;8;0;J;Technos Japan
0d8a30a2;00000000;Gradius;49;2;2;4;P;Konami
0d9f5bd1;0d9f5bd1;Maniac Mansion;18;0;16;0;U;Jaleco
0da00298;69e534eb;<Gozonji - >Yaji Kita Chin Douchuu;16;0;16;16;J;Hal Kenkyuujo
0da0cd7c;3662fd6f;Smash Ping Pong (FDS Hack);48;0;2;2;JH
0db1c342;004e5381;Erika to Satoru no Yume Bouken (Mapper 4 Hack);65;0;8;16;JM;Namco
0db4b382;6ec74e4c;Plasma Ball;32;16;8;16;J;Jaleco
0dbc1bfe;b594aa42;Hotman (English v1.0);49;0;2;4;T
0dc53188;0dc53188;Jesus< - Kyoufu no Bio Monster>;16;0;16;0;J;King Records
0e02eea4;00000000;Penisian (Galaxian Hack);0;0;1;1;GH
0e1683c5;95aaed34;Mirai Shinwa Jarvas;1;80;8;16;J;Taito
0e54f0c3;0e54f0c3;Wall Street Kid (Bad Dump);32;0;8;0;UB;Sofel
0e87b8d7;25eccee1;Gothic Mario Bros. (SMB1 Hack);1;0;2;1;GH
0e8c28f9;63b7637c;Motion (Demo);1;0;2;1;PD;Chris Covell
0e997cf6;0e997cf6;Takeda Shingen 2;18;0;16;0;J;Hot B
0e9d9622;812c8812;Technos Samurai< - Downtown Special> (English v1.0);67;0;8;16;T
0eaa7515;0eaa7515;Rod Land;32;0;8;0;J;Jaleco
0ec6c023;e7c72dbb;Gemfire;82;0;16;32;U;Koei
0ed96f42;eddd580b;Gremlins 2< - The New Batch>;65;0;8;32;U;Sunsoft
0ef730e7;20028703;Twin Cobra;65;0;8;16;U;American Sammy
0efde8c0;607db27a;Side Pocket;64;0;8;4;J;Kemco
0f0f9c73;85f58367;Puzzle;240;64;2;4;UX;American Video
0f141525;6267fbd1;Arkanoid 2;96;64;4;16;J;Taito
0f1babe7;424ec0a6;Jajamaru Gekimaden< - Maboroshi no Kinmajou>;34;16;8;16;J;Jaleco
0f1c3afc;0f1c3afc;Section Z (Bad Dump);33;0;8;0;UB;Capcom
0f1cc048;79149ebf;Double Dragon;16;0;8;16;U;Tradewest
0f4ff4a0;0f4ff4a0;Final Fantasy 2 (English v1.03);18;0;16;0;T;Neo Demiforce
0f5410e3;0f5410e3;Rainbow Islands< - The Story of Bubble Bobble 2> (Pirate);32;0;8;0;JZ;Taito
0f5f1f86;e5d49424;Zenbei!! Pro Basket;16;0;8;16;J;Vic Tokai
0f755640;00000000;Deformed Bros. (SMB1 Hack);1;0;2;1;GH
0f814f75;9045fd87;Chip 'n Dale Rescue Rangers (Swedish v1.0);16;0;8;16;T;The Translators
0f86feb4;0f86feb4;Times of Lore;33;0;8;0;U;Toho
0fa322c2;07138c06;Clu Clu Land;57;97;2;2;V;Nintendo
